Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,MFP,MFN,Config
1,"Unpolarized capacitor, small symbol",C_Small,C7 C8 C9 C10 C11 C12 C14 C15 C31,100n,C_0603,9,,885012206071,Wurth Electronics,
2,"Unpolarized capacitor, small symbol",C_Small,C3 C4 C29,10n,C_0603,3,,CGA3E2C0G1H103J080AA,TDK,
3,"Unpolarized capacitor, small symbol",C_Small,C32,10p,C_0603,1,,885012006051,Wurth Electronics,
4,"Unpolarized capacitor, small symbol",C_Small,C1 C2 C5 C6,10u,C_1210,4,,GCM32EL8EH106KA07L,Murata,
5,"Unpolarized capacitor, small symbol",C_Small,C30,1u,C_0805,1,,UMK212B7105KG-T,Taiyo Yuden,
6,"Unpolarized capacitor, small symbol",C_Small,C13 C16,33p (C0G),C_0603,2,,CC0603GRNPO9BN330,Yageo,
7,"Unpolarized capacitor, small symbol",C_Small,C26 C27 C28,4.7u,C_0805,3,,UMK212BBJ475KG-T,Taiyo Yuden,
8,"Unpolarized capacitor, small symbol",C_Small,C33,47u,C_1210,1,,EMK325BJ476MM-P,Taiyo Yuden,
9,"Connector Europe 64 contacts, ranges A,B,C",C64AC,J1,C64AC,Socket_DIN41612-CaseC1-AC-Male-64Pin-2rows,1 (DNF),,09 03 164 2919,Harting,DNF
10,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)",Conn_Coaxial,J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 J13 J14 J15 J16 J17 J18,PD_In_1,SMA_THT_Jack_Straight,16 (DNF),,,,DNF
11,One-piece EMI RF shielding cabinet,RF_Shield_One_Piece,J2,RF_Shield_One_Piece DNF,Laird_Technologies_BMI-S-107_44.37x44.37mm,1 (DNF),,36907406S,Wurth Electronics,DNF
12,"Inductor, small symbol",L_Small,L2 L3,4.7u,Coilcraft_MSS1278T,2,,MSS1278T-472MLD,Coilcraft,
13,"Inductor, small symbol",L_Small,L1,TDK MPZ2012S221A,L_0805,1,,MPZ2012S221A,TDK,
14,"Resistor, small symbol",R_Small,R42 R43,0,R_0603,2,,CRCW06030000Z0EAC,Vishay/Dale,
15,"Resistor, small symbol",R_Small,R7 R24,15k,R_0603,2,,RR0816P-153-D,Susumu,
16,"Resistor, small symbol",R_Small,R3 R8 R9 R10 R36,1M,R_0603,5,,ERJ-3RED1004V,Panasonic,
17,"Resistor, small symbol",R_Small,R11 R12 R13 R14 R15 R17 R20 R21 R25 R28 R29 R30 R31 R32 R38 R39,1k,R_0603,16,,RR0816P-102-D,Susumu,
18,"Resistor, small symbol",R_Small,R35,243k,R_0603,1,,RR0816P-2433-D-38D,Susumu,
19,"Resistor, small symbol",R_Small,R1 R2,2k,R_0603,2,,RR0816P-202-D,Susumu,
20,"Resistor, small symbol",R_Small,R23 R27,3k,R_0603,2,,RR0816P-302-D,Susumu,
21,"Resistor, small symbol",R_Small,R4 R5 R6 R18 R19 R22 R33 R37,49.9,R_1210,8,,RC1210FR-0749R9L,Yageo,
22,"Resistor, small symbol",R_Small,R34,52.3k,R_0603,1,,RR0816P-5232-D-70C,Susumu,
23,"Resistor, small symbol",R_Small,R16 R26,6.98k,R_0603,2,,RR0816P-6981-D-82H,Susumu,
24,"Resistor, small symbol",R_Small,R40 R41,DNF,R_0603,2 (DNF),,,,DNF
25,StemLab RedPitaya 14bit,RedPitaya_125-14,RP1,RedPitaya_125-14,RedPitaya_125-14,1 (DNF),,ESQ-113-44-T-D,Samtec,DNF
26,"5x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",SW_DIP_x05,SW1,Gain1,SW_DIP_x5_W7.62mm_Piano,1 (DNF),~,A6FR-5104,Omron Electronics,DNF
27,"5x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",SW_DIP_x05,SW2,Gain2,SW_DIP_x5_W7.62mm_Piano,1 (DNF),~,A6FR-5104,Omron Electronics,DNF
28,"Dual 150mA, Positive/Negative Low Noise, Low Dropout Linear Regulator, Fixed Output",LT3032-X,U1,LT3032-12,Linear_DE14MA,1,https://cds.linear.com/docs/en/datasheet/3032ff.pdf,LT3032EDE-12#PBF,Linear Technology,
29,,LT8610,U9,LT8610,MSOP-16-1EP_3x4mm_Pitch0.5mm,1,,LT8610EMSE#PBF,Linear Technology,
30,Dual Power Op amp,OPA1602,U2 U5,OPA1602,SOIC-8_3.9x4.9mm_Pitch1.27mm,2,http://www.st.com/content/ccc/resource/technical/document/datasheet/02/9c/bc/75/59/9c/47/bd/CD00000054.pdf/files/CD00000054.pdf/jcr:content/translations/en.CD00000054.pdf,OPA1602AIDR,Texas Instruments,
31,Quad Op amp.,OPA1604,U3 U4,OPA1604,SOIC-14_3.9x8.7mm_Pitch1.27mm,2,,OPA1604AIDR,Texas Instruments,





Component Groups:,31
Component Count:,97
Fitted Components:,74
Number of PCBs:,1
Total components:,74
Schematic Version:,1.3.2
Schematic Date:,2020-09-08
PCB Variant:,"""default"""
BoM Date:,08.09.2020 22:50:19
Schematic Source:,C:\Users\Tilman Preuschoff\Documents\GitHub\RedPitaya-IntStab\pcb\KiCad\RedPitaya_IntStab.sch
KiCad Version:,Eeschema (5.1.5)-3
